# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
        221        6.4388362011        6.4389135478        4.1988764755       42.3992981433      188.9756885789
        222        6.1997027070        6.1997855740        3.9670442074       47.8200182268      188.0256316516
        223        5.9571192236        5.9572055532        3.7318154077       53.7002145358      187.0747406515
        224        5.7118500687        5.7119377515        3.4939381560       60.0134474414      186.1240378295
        225        5.4646898703        5.4647768526        3.2541902833       66.5077973518      185.1745333628
        226        5.2164588039        5.2165428270        3.0133747116       73.4815856799      184.2272216707
        227        4.9679972700        4.9802627063        2.7723142457       80.4861892585      183.2830784087
        228        4.7201599406        4.7471416597        2.5318457439       87.9563238510      182.3430578613
        229        4.4738087871        4.5281230667        2.2928132926       95.8686270278      181.4080896304
        230        4.2298066639        4.3127413073        2.0560619279      103.7723091131      180.4790768659
        231        3.9890104138        4.0999571411        1.8224308819      111.5664820423      179.5568948442
        232        3.7522639647        3.8905920229        1.5927468211      119.2211487358      178.6423896911
        233        3.5203915570        3.6943182628        1.3678172132      126.7069887955      177.7363774023
        234        3.2941912351        3.5077955776        1.1484239506      133.9956168407      176.8396431069
        235        3.0744287261        3.3266794806        0.9353173529      141.0597898346      175.9529405415
        236        2.8618318167        3.1516643369        0.7292106562      147.8736084851      175.0769916667
        237        2.6570853249        2.9854275165        0.5307750840      154.4127133447      174.2124863794
        238        2.4608267467        2.8335744152        0.3406355792      160.6544528701      173.3600822771
        239        2.2736426394        2.6923514659        0.1593672562      166.5779789129      172.5204044495
        240        2.0960657842        2.5591666363        0.0125073841      172.1643759924      171.6940451954
        241        1.9285731514        2.4369909809        0.1745204532      177.3967403645      170.8815636973
        242        1.7715846714        2.3274676039        0.3262598850      182.2602179000      170.0834855992
        243        1.6254627963        2.2299351347        0.4673698722      186.7420239537      169.3003024752
        244        1.4905128161        2.1444176020        0.5975505625      190.8314147116      168.5324711657
        245        1.3669838802        2.0722776678        0.7165570654      194.5196668775      167.7804129757
        246        1.2550706562        2.0167641722        0.8241978328      197.8000131044      167.0445127561
        247        1.1549155473        1.9780331496        0.9203324945      200.6675660210      166.3251178729
        248        1.0666113760        1.9544583453        1.0048692339      203.1191982349      165.6225370837
        249        0.9902044400        1.9431338084        1.0777618013      205.1534531247      164.9370393218
        250        0.9256978325        1.9410415399        1.1390062659      206.7704013077      164.2688524546
        251        0.8730549271        1.9450653024        1.1886376076      207.9715285204      163.6181620181
        252        0.8322029210        1.9524426374        1.2267262500      208.7596103200      162.9851099827
        253        0.8030363387        1.9614658186        1.2533746318      209.1385570061      162.3697935967
        254        0.7854204047        1.9705918268        1.2687139076      209.1133240937      161.7722642940
        255        0.7791942002        1.9788705443        1.2729008572      208.6897618929      161.1925267883
        256        0.7841735357        1.9858393987        1.2661150752      207.8745233700      160.6305382931
        257        0.8001534791        1.9914736718        1.2485564961      206.6749564117      160.0862079681
        258        0.8269104982        1.9962364566        1.2204432981      205.0991075537      159.5593965829
        259        0.8642041879        2.0005899496        1.1820102123      203.1555175731      159.0499165425
        260        0.9117785711        2.0058346801        1.1335072501      200.8532816080      158.5575320236
        261        0.9693629764        2.0134696664        1.0751988451      198.2020112128      158.0819595362
        262        1.0366725092        2.0252416883        1.0073633923      195.2117384751      157.6228687828
        263        1.1134081499        2.0438592129        0.9302931538      191.8930253737      157.1798837296
        264        1.1992565195        2.0715824268        0.8442944896      188.2568580249      156.7525841154
        265        1.2938893697        2.1101503801        0.7496883585      184.3147630357      156.3405071199
        266        1.3969628561        2.1610375575        0.6468110316      180.0787737452      155.9431494284
        267        1.5081166654        2.2220149994        0.5360149494      175.5615443338      155.5599694797
        268        1.6269730643        2.2917427078        0.4176696544      170.7762538729      155.1903900510
        269        1.7531359459        2.3694894665        0.2921627279      165.7368133991      154.8338008939
        270        1.8861899426        2.4548816759        0.1599006608      160.4577095592      154.4895617582
        271        2.0256996739        2.5456989011        0.0213095924      154.9541916275      154.1570053220
        272        2.1712091915        2.6428101590        0.1231641439      149.2422310643      153.8354404300
        273        2.3222416772        2.7493125434        0.2730537223      143.3385252846      153.5241553304
        274        2.4782994393        2.8620695222        0.4278718198      137.2605182911      153.2224209407
        275        2.6388642460        2.9784781198        0.5871109400      131.0264299927      152.9294941407
        276        2.8033980201        3.0981872229        0.7502440926      124.6551651842      152.6446210885
        277        2.9713439129        3.2229200069        0.9167258434      118.1663082441      152.3670403942
        278        3.1421277588        3.3583116870        1.0859937386      111.5800824407      152.0959862475
        279        3.3151599060        3.4964117895        1.2574700968      104.9172714752      151.8306914488
        280        3.4898374050        3.6361564376        1.4305641524       98.1991564067      151.5703902914
        281        3.6655465276        3.7770391947        1.6046745236       91.4474134420      151.3143213133
        282        3.8416655817        3.9197657047        1.7791919694       84.6840162514      151.0617298731
        283        4.0175679772        4.0718781936        1.9535023948       78.3928150889      150.8118705590
        284        4.1926252486        4.2239890286        2.1269898117       72.5305926619      150.5640098983
        285        4.3662109694        4.3752461492        2.2990401736       67.0924704965      150.3174276063
        286        4.5377040243        4.5377784631        2.4690445885       61.7643824131      150.0714186349
        287        4.7064921399        4.7065655348        2.6364027773       56.7528554406      149.8252950791
        288        4.8719753965        4.8720468087        2.8005265173       52.0057957120      149.5783877415
        289        5.0335696559        5.0336383604        2.9608430032       47.4907981159      149.3300475421
        290        5.1907098488        5.1907749746        3.1167980715       43.3555691978      149.0796467870
        291        5.3428530726        5.3429137462        3.2678592391       39.5587349707      148.8265803215
        292        5.4894814527        5.4895368491        3.4135185104       36.2674898311      148.5702665672
        293        5.6301047291        5.6301541501        3.5532949158       34.0831522523      148.3101484665
        294        5.7642625355        5.7643053446        3.6867367486       33.6622355565      148.0456943473
        295        5.8915263466        5.8915620474        3.8134234771       34.5104447586      147.7763987219
        296        6.0115010764        6.0115292972        3.9329673154       36.0571426751      147.5017830303
        297        6.1238263191        6.1238468436        4.0450144428       38.0053893428      147.2213963398
        298        6.2281772319        6.2281899644        4.1492458735       40.1484846087      146.9348160085
        299        6.3242650665        6.3242700349        4.2453779811       42.3829791991      146.6416483210
        300        6.4118373640        6.4118347262        4.3331626938       44.6191009348      146.3415290978
        301        6.4906778328        6.4906678736        4.4123873785       46.7769811497      146.0341242824
        302        6.5606059389        6.5605890367        4.4828744426       48.8188863565      145.7191305043
        303        6.6214762364        6.6214528953        4.5444806823       50.6992083223      145.3962756161
        304        6.6731774773        6.6731482800        4.5970964124       52.3948793619      145.0653191993
        305        6.7156315362        6.7155971382        4.6406444167       53.8826506591      144.7260530333
        306        6.7487921910        6.7487533194        4.6750787550       55.1537335732      144.3783015175
        307        6.7726437987        6.7726012408        4.7003834692       56.1872162726      144.0219220405
        308        6.7871999074        6.7871545010        4.7165712245       56.9763601549      143.6568052819
        309        6.7925018403        6.7924544547        4.7236819247       57.5163440968      143.2828754404
        310        6.7886172880        6.7885688107        4.7217813348       57.8064465098      142.9000903744
        311        6.7756389406        6.7755902651        4.7109597420       57.8468715100      142.5084416462
        312        6.7536831850        6.7536351980        4.6913306814       57.6387685994      142.1079544587
        313        6.7228888918        6.7228424590        4.6630297487       57.1857118662      141.6986874767
        314        6.6834163065        6.6833722599        4.6262135149       56.4942405080      141.2807325236
        315        6.6354460570        6.6354051832        4.5810585562       55.5723535995      140.8542141497
        316        6.5791782830        6.5791413115        4.5277606011       54.4472206518      140.4192890638
        317        6.5148318863        6.5147994774        4.4665337981       53.1126308688      139.9761454296
        318        6.4426438973        6.4426166336        4.3976100957       51.5926948917      139.5250020222
        319        6.3628689464        6.3628473251        4.3212387265       49.9116274336      139.0661072494
        320        6.2757788263        6.2757632512        4.2376857790       48.0804252075      138.5997380385
        321        6.1816621262        6.1816529030        4.1472338410       46.1466933286      138.1261985960
