# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
        153        7.3445180400        7.3465837266        2.6573385913       20.1403766295       42.2112032793
        154        7.3201525198        7.3222100523        2.6375602966       19.9901982303       42.0491099465
        155        7.2957300389        7.2977793947        2.6178398263       19.8404649329       41.8822217448
        156        7.2712498929        7.2732910495        2.5981778778       19.6911746561       41.7179283379
        157        7.2467118355        7.2487447699        2.5785747342       19.5423306417       41.5551454079
        158        7.2221158799        7.2241405693        2.5590304431       19.3939345630       41.3925639619
        159        7.1974820136        7.1994984475        2.5395268904       19.2460511710       41.0274153609
        160        7.1727981345        7.1748062944        2.5200749147       19.0986276696       40.5950922219
        161        7.1480394847        7.1500393370        2.5006971054       18.9515984425       40.3333211562
        162        7.1232129809        7.1252044970        2.4813874054       18.8050136418       40.1457782430
        163        7.0983287363        7.1003118931        2.4621367080       18.6588958434       39.9405142319
        164        7.0733836558        7.0753584286        2.4429479045       18.5132168620       39.7677432520
        165        7.0483784702        7.0503448350        2.4238203977       18.3679981990       39.6014102132
        166        7.0233140062        7.0252719391        2.4047535022       18.2232393439       39.4368043802
        167        6.9981912437        7.0001407215        2.3857463910       18.0789451516       39.2627754145
        168        6.9730102593        6.9749512584        2.3667990618       17.9351165061       39.0784223386
        169        6.9477683111        6.9497008071        2.3479140867       17.7917459740       38.9107657754
        170        6.9224659223        6.9243898909        2.3290910604       17.6488439810       38.7462918387
        171        6.8971035969        6.8990190140        2.3103295956       17.5064099749       38.5826058165
        172        6.8716812917        6.8735881331        2.2916298059       17.3644454235       38.4191052699
        173        6.8461988251        6.8480970666        2.2729919333       17.2229523387       38.2556209976
        174        6.8206560395        6.8225456567        2.2544161996       17.0819324673       38.0920962510
        175        6.7950527870        6.7969337555        2.2359028201       16.9413874742       37.9285051335
        176        6.7693889212        6.7712612166        2.2174520106       16.8013190190       37.7648317098
        177        6.7436642964        6.7455278940        2.1990639888       16.6617287729       37.6010643217
        178        6.7178787675        6.7197336428        2.1807389745       16.5226184170       37.4371938137
        179        6.6920321911        6.6938783194        2.1624771885       16.3839896410       37.2732127984
        180        6.6661249706        6.6679623273        2.1442783529       16.2458462477       37.1032047636
        181        6.6401571121        6.6419856725        2.1261425568       16.1081891672       36.9269179424
        182        6.6141269637        6.6159467027        2.1080714151       15.9710146162       36.7604281673
        183        6.5880347758        6.5898456684        2.0900648006       15.8343296687       36.5956951485
        184        6.5618808115        6.5636828327        2.0721225780       15.6981347106       36.4313035939
        185        6.5356650056        6.5374581304        2.0542449172       15.5624313827       36.2669053213
        186        6.5093872119        6.5111714152        2.0364320668       15.4272216710       36.1024086668
        187        6.4830472985        6.4848225552        2.0186842669       15.2925074291       35.9377872776
        188        6.4566451459        6.4584114307        2.0010017510       15.1582904448       35.7730317316
        189        6.4301806387        6.4319379265        1.9833847541       15.0245725110       35.6081373021
        190        6.4036536646        6.4054019301        1.9658335136       14.8913554398       35.4431008388
        191        6.3770641154        6.3788033333        1.9483482692       14.7586410576       35.2779199109
        192        6.3504118876        6.3521420327        1.9309292623       14.6264312039       35.1125925276
        193        6.3236968828        6.3254179296        1.9135767361       14.4947277322       34.9471170215
        194        6.2969190079        6.2986309311        1.8962909359       14.3635325103       34.7814919821
        195        6.2700781753        6.2717809495        1.8790721086       14.2328474206       34.6157162115
        196        6.2431743038        6.2448679036        1.8619205037       14.1026743609       34.4497886904
        197        6.2162073183        6.2178917183        1.8448363723       13.9730152447       34.2837085518
        198        6.1891771508        6.1908523257        1.8278199678       13.8438720011       34.1174750610
        199        6.1620990202        6.1637649541        1.8108574116       13.7152852594       33.8047115257
        200        6.1349598640        6.1366165327        1.7939607348       13.5872160710       33.4760425576
        201        6.1077482745        6.1093956467        1.7771408110       13.4596434326       33.2353134065
        202        6.0804672484        6.0821052952        1.7603952207       13.3325863393       33.0450788607
