 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  567.787234  567.785168  567.778475  567.760394  567.713715  567.598209  567.326766  566.726979  565.492280  563.173289  556.033263  554.868052 
Temperature ,  567.787234  567.785169  567.778476  567.760397  567.713727  567.598251  567.326912  566.727462  565.493809  563.177833  556.050356  554.894113 
Temperature ,  567.787234  567.785169  567.778476  567.760398  567.713732  567.598270  567.326980  566.727703  565.494627  563.180459  556.061026  554.911282 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713734  567.598278  567.327009  566.727811  565.495025  563.181842  556.067108  554.921662 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327020  566.727855  565.495198  563.182494  556.070220  554.927322 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327023  566.727870  565.495264  563.182764  556.071620  554.930050 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327024  566.727875  565.495284  563.182858  556.072157  554.931179 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327024  566.727875  565.495288  563.182882  556.072320  554.931559 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327024  566.727874  565.495287  563.182883  556.072347  554.931646 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327023  566.727874  565.495285  563.182877  556.072334  554.931638 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327023  566.727873  565.495283  563.182871  556.072312  554.931608 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327023  566.727872  565.495280  563.182864  556.072288  554.931573 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598281  567.327022  566.727871  565.495277  563.182857  556.072264  554.931538 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327022  566.727870  565.495275  563.182850  556.072240  554.931503 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327022  566.727869  565.495272  563.182843  556.072215  554.931467 
