 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  571.924178  571.897850  571.834497  571.705696  571.467120  571.050243  570.359951  569.279285  567.685108  565.484494  565.385528  554.482593 
Temperature ,  571.926605  571.901054  571.839520  571.714248  571.481793  571.074716  570.398901  569.337783  567.767388  565.592311  565.493630  554.610778 
Temperature ,  571.926867  571.901469  571.840333  571.715962  571.485351  571.081763  570.412008  569.360423  567.803368  565.644435  565.546068  554.691556 
Temperature ,  571.926969  571.901651  571.840738  571.716913  571.487527  571.086483  570.421596  569.378478  567.834588  565.693417  565.595586  554.795018 
Temperature ,  571.926991  571.901708  571.840901  571.717365  571.488700  571.089319  570.427962  569.391683  567.859717  565.736759  565.639759  554.928663 
Temperature ,  571.926981  571.901708  571.840938  571.717528  571.489227  571.090798  570.431711  569.400365  567.878090  565.771988  565.676076  555.087565 
Temperature ,  571.926960  571.901686  571.840921  571.717547  571.489390  571.091420  570.433597  569.405370  567.890039  565.797707  565.702984  555.252516 
Temperature ,  571.926938  571.901660  571.840886  571.717508  571.489381  571.091576  570.434334  569.407794  567.896776  565.814220  565.720576  555.398824 
Temperature ,  571.926919  571.901635  571.840849  571.717452  571.489307  571.091523  570.434471  569.408671  567.899914  565.823293  565.730471  555.508722 
Temperature ,  571.926901  571.901612  571.840815  571.717396  571.489219  571.091399  570.434356  569.408776  567.900961  565.827339  565.735037  555.578000 
Temperature ,  571.926884  571.901591  571.840783  571.717344  571.489134  571.091266  570.434166  569.408577  567.901015  565.828570  565.736538  555.613896 
Temperature ,  571.926868  571.901570  571.840753  571.717296  571.489055  571.091140  570.433973  569.408305  567.900713  565.828541  565.736618  555.628319 
Temperature ,  571.926852  571.901550  571.840723  571.717249  571.488981  571.091023  570.433795  569.408043  567.900348  565.828112  565.736217  555.631895 
Temperature ,  571.926836  571.901530  571.840694  571.717203  571.488909  571.090912  570.433630  569.407807  567.900013  565.827648  565.735752  555.631437 
Temperature ,  571.926820  571.901510  571.840665  571.717158  571.488837  571.090804  570.433473  569.407589  567.899720  565.827249  565.735345  555.630206 
